Accurracy After n Branches, Accurracy in %
853000, 92.6444%
854000, 92.6334%
855000, 92.6253%
856000, 92.6161%
857000, 92.6068%
858000, 92.5978%
859000, 92.5865%
860000, 92.5758%
861000, 92.5797%
862000, 92.5842%
863000, 92.589%
864000, 92.5956%
865000, 92.5945%
866000, 92.5994%
867000, 92.5974%
868000, 92.5938%
869000, 92.5895%
870000, 92.5861%
871000, 92.5836%
872000, 92.5818%
873000, 92.5874%
874000, 92.5947%
875000, 92.6021%
876000, 92.6094%
877000, 92.6165%
878000, 92.624%
879000, 92.6314%
880000, 92.6386%
881000, 92.6457%
882000, 92.6532%
883000, 92.6605%
884000, 92.6533%
885000, 92.6428%
886000, 92.6342%
887000, 92.6259%
888000, 92.6171%
889000, 92.6074%
890000, 92.5976%
891000, 92.588%
892000, 92.5775%
893000, 92.5689%
894000, 92.56%
895000, 92.5488%
896000, 92.5415%
897000, 92.5334%
898000, 92.5264%
899000, 92.5189%
900000, 92.5116%
901000, 92.5044%
902000, 92.4967%
903000, 92.4887%
904000, 92.4909%
905000, 92.4888%
906000, 92.4898%
907000, 92.4873%
908000, 92.4909%
909000, 92.4968%
910000, 92.5008%
911000, 92.503%
912000, 92.5061%
913000, 92.5056%
914000, 92.5038%
915000, 92.5042%
916000, 92.5096%
917000, 92.5161%
918000, 92.5233%
919000, 92.5304%
920000, 92.5374%
921000, 92.5444%
922000, 92.5516%
923000, 92.5586%
924000, 92.5656%
925000, 92.5725%
926000, 92.5797%
927000, 92.5727%
928000, 92.5643%
929000, 92.5564%
930000, 92.5483%
931000, 92.5386%
932000, 92.5293%
933000, 92.5208%
934000, 92.5134%
935000, 92.5048%
936000, 92.4956%
937000, 92.4848%
938000, 92.4771%
939000, 92.4693%
940000, 92.4595%
941000, 92.452%
942000, 92.4449%
943000, 92.4357%
944000, 92.4284%
945000, 92.4207%
946000, 92.4127%
947000, 92.4162%
948000, 92.4179%
949000, 92.4168%
950000, 92.4171%
951000, 92.422%
952000, 92.4267%
953000, 92.4286%
954000, 92.4296%
955000, 92.4311%
956000, 92.4315%
957000, 92.4274%
958000, 92.4285%
959000, 92.4337%
960000, 92.4397%
961000, 92.4466%
962000, 92.4533%
963000, 92.4604%
964000, 92.467%
965000, 92.474%
966000, 92.4806%
967000, 92.4877%
968000, 92.4942%
969000, 92.5011%
970000, 92.4973%
971000, 92.4885%
972000, 92.4808%
973000, 92.4724%
974000, 92.4618%
975000, 92.4528%
976000, 92.4442%
977000, 92.4345%
978000, 92.4241%
979000, 92.4143%
980000, 92.407%
981000, 92.3995%
982000, 92.3901%
983000, 92.385%
984000, 92.3785%
985000, 92.3705%
986000, 92.3628%
987000, 92.3541%
988000, 92.3456%
989000, 92.339%
990000, 92.3436%
991000, 92.3428%
992000, 92.3426%
993000, 92.3419%
994000, 92.3443%
995000, 92.3451%
996000, 92.3464%
997000, 92.3515%
998000, 92.3532%
999000, 92.3528%
1000000, 92.3528%
1001000, 92.3533%
1002000, 92.3586%
1003000, 92.3649%
1004000, 92.3715%
1005000, 92.378%
1006000, 92.3846%
1007000, 92.3913%
1008000, 92.398%
1009000, 92.4045%
1010000, 92.411%
1011000, 92.4176%
1012000, 92.4243%
1013000, 92.4229%
1014000, 92.4147%
1015000, 92.4064%
1016000, 92.3994%
1017000, 92.3933%
1018000, 92.3832%
1019000, 92.3769%
1020000, 92.3682%
1021000, 92.3626%
1022000, 92.3551%
1023000, 92.3462%
1024000, 92.3383%
1025000, 92.3292%
1026000, 92.3208%
1027000, 92.3151%
1028000, 92.3078%
1029000, 92.3018%
1030000, 92.2926%
1031000, 92.286%
1032000, 92.2811%
1033000, 92.2825%
1034000, 92.2839%
1035000, 92.2854%
1036000, 92.2869%
1037000, 92.2909%
1038000, 92.2959%
1039000, 92.3%
1040000, 92.3042%
1041000, 92.3059%
1042000, 92.3032%
1043000, 92.3016%
1044000, 92.3058%
1045000, 92.3112%
1046000, 92.317%
1047000, 92.3233%
1048000, 92.3298%
1049000, 92.3361%
1050000, 92.3426%
1051000, 92.3489%
1052000, 92.3553%
1053000, 92.3616%
1054000, 92.368%
1055000, 92.3743%
1056000, 92.3719%
1057000, 92.3626%
1058000, 92.3545%
1059000, 92.348%
1060000, 92.3402%
1061000, 92.3337%
1062000, 92.3251%
1063000, 92.3183%
1064000, 92.3102%
1065000, 92.3024%
1066000, 92.2949%
1067000, 92.2874%
1068000, 92.2794%
1069000, 92.2729%
1070000, 92.2653%
1071000, 92.2599%
1072000, 92.2521%
1073000, 92.2449%
1074000, 92.2387%
1075000, 92.2345%
1076000, 92.2383%
1077000, 92.2421%
1078000, 92.2432%
1079000, 92.2477%
1080000, 92.2502%
1081000, 92.2534%
1082000, 92.256%
1083000, 92.2599%
1084000, 92.2626%
1085000, 92.2611%
1086000, 92.2621%
1087000, 92.2648%
1088000, 92.27%
1089000, 92.2756%
1090000, 92.2818%
1091000, 92.2881%
1092000, 92.2943%
1093000, 92.3003%
1094000, 92.3066%
1095000, 92.3128%
1096000, 92.319%
1097000, 92.3249%
1098000, 92.3311%
1099000, 92.3275%
1100000, 92.3185%
1101000, 92.3116%
1102000, 92.3055%
1103000, 92.2997%
1104000, 92.2935%
1105000, 92.2854%
1106000, 92.2783%
1107000, 92.27%
1108000, 92.2623%
1109000, 92.2547%
1110000, 92.2486%
1111000, 92.2418%
1112000, 92.2346%
1113000, 92.2288%
1114000, 92.2229%
1115000, 92.2162%
1116000, 92.2099%
1117000, 92.2036%
1118000, 92.1987%
1119000, 92.2038%
1120000, 92.2053%
1121000, 92.2029%
1122000, 92.2014%
1123000, 92.2037%
1124000, 92.2066%
1125000, 92.2118%
1126000, 92.2159%
1127000, 92.2192%
1128000, 92.2237%
1129000, 92.2232%
1130000, 92.2274%
1131000, 92.2317%
1132000, 92.2373%
1133000, 92.2433%
1134000, 92.2492%
1135000, 92.2553%
1136000, 92.2612%
1137000, 92.2673%
1138000, 92.2731%
1139000, 92.2792%
1140000, 92.285%
1141000, 92.2911%
1142000, 92.2866%
1143000, 92.2803%
1144000, 92.2742%
1145000, 92.2687%
1146000, 92.2617%
1147000, 92.2555%
1148000, 92.2495%
1149000, 92.2421%
1150000, 92.2414%
1151000, 92.2337%
1152000, 92.2269%
1153000, 92.2207%
1154000, 92.2147%
1155000, 92.2087%
1156000, 92.2029%
1157000, 92.1961%
1158000, 92.1896%
1159000, 92.185%
1160000, 92.1793%
1161000, 92.1755%
1162000, 92.1785%
1163000, 92.1794%
1164000, 92.1797%
1165000, 92.1833%
1166000, 92.1817%
1167000, 92.1808%
1168000, 92.1837%
1169000, 92.186%
1170000, 92.1896%
1171000, 92.1945%
1172000, 92.1976%
1173000, 92.2013%
1174000, 92.2067%
1175000, 92.211%
1176000, 92.2153%
1177000, 92.2114%
1178000, 92.2048%
1179000, 92.2067%
1180000, 92.2032%
1181000, 92.1968%
1182000, 92.1891%
1183000, 92.1832%
1184000, 92.1774%
1185000, 92.1787%
1186000, 92.1761%
1187000, 92.1722%
1188000, 92.1707%
1189000, 92.1671%
1190000, 92.1676%
1191000, 92.1719%
1192000, 92.1751%
1193000, 92.1785%
1194000, 92.1836%
1195000, 92.189%
1196000, 92.1929%
1197000, 92.1977%
1198000, 92.2002%
1199000, 92.2057%
1200000, 92.2103%
1201000, 92.2151%
1202000, 92.2179%
1203000, 92.2187%
1204000, 92.2217%
1205000, 92.2271%
1206000, 92.2309%
1207000, 92.2349%
1208000, 92.2395%
1209000, 92.243%
1210000, 92.2454%
1211000, 92.2462%
1212000, 92.2493%
1213000, 92.2549%
1214000, 92.2611%
1215000, 92.2673%
1216000, 92.2735%
1217000, 92.2797%
1218000, 92.2859%
1219000, 92.292%
1220000, 92.2982%
1221000, 92.3043%
1222000, 92.3105%
1223000, 92.3166%
1224000, 92.3227%
1225000, 92.3289%
1226000, 92.335%
1227000, 92.3346%
1228000, 92.3307%
1229000, 92.3308%
1230000, 92.3325%
1231000, 92.3324%
1232000, 92.3342%
1233000, 92.3367%
1234000, 92.3403%
1235000, 92.3434%
1236000, 92.3467%
1237000, 92.35%
1238000, 92.3539%
1239000, 92.3572%
1240000, 92.3612%
1241000, 92.3645%
1242000, 92.3674%
1243000, 92.3698%
1244000, 92.3743%
1245000, 92.3785%
1246000, 92.3827%
1247000, 92.3869%
1248000, 92.3909%
1249000, 92.3877%
1250000, 92.3918%
1251000, 92.3967%
1252000, 92.402%
1253000, 92.4075%
1254000, 92.4132%
1255000, 92.419%
1256000, 92.4249%
1257000, 92.4308%
1258000, 92.4366%
1259000, 92.4425%
1260000, 92.4483%
1261000, 92.4542%
1262000, 92.4601%
1263000, 92.4659%
1264000, 92.4717%
1265000, 92.4775%
1266000, 92.4806%
1267000, 92.4846%
1268000, 92.4891%
1269000, 92.4932%
1270000, 92.4969%
1271000, 92.5005%
1272000, 92.506%
1273000, 92.5094%
1274000, 92.5144%
1275000, 92.5201%
1276000, 92.5258%
1277000, 92.5315%
1278000, 92.5372%
1279000, 92.5428%
1280000, 92.5485%
1281000, 92.5542%
1282000, 92.5598%
1283000, 92.5656%
1284000, 92.5712%
1285000, 92.5768%
1286000, 92.5824%
1287000, 92.588%
1288000, 92.5936%
1289000, 92.5978%
1290000, 92.6012%
1291000, 92.6041%
1292000, 92.6057%
1293000, 92.6084%
1294000, 92.6117%
1295000, 92.6157%
1296000, 92.6198%
1297000, 92.6234%
1298000, 92.6276%
1299000, 92.6314%
1300000, 92.6357%
1301000, 92.6397%
1302000, 92.6431%
1303000, 92.6484%
1304000, 92.6538%
1305000, 92.6582%
1306000, 92.6637%
1307000, 92.6692%
1308000, 92.6746%
1309000, 92.6801%
1310000, 92.6855%
1311000, 92.6909%
1312000, 92.6963%
1313000, 92.7018%
1314000, 92.7072%
1315000, 92.7125%
1316000, 92.7179%
1317000, 92.7233%
1318000, 92.7118%
1319000, 92.7083%
1320000, 92.7078%
1321000, 92.7108%
1322000, 92.7133%
1323000, 92.7169%
1324000, 92.7193%
1325000, 92.7208%
1326000, 92.7222%
1327000, 92.7253%
1328000, 92.7262%
1329000, 92.7269%
1330000, 92.7306%
1331000, 92.7321%
1332000, 92.7312%
1333000, 92.732%
1334000, 92.7336%
1335000, 92.7364%
1336000, 92.7396%
1337000, 92.7435%
1338000, 92.7472%
1339000, 92.7491%
1340000, 92.7522%
1341000, 92.7547%
1342000, 92.7573%
1343000, 92.7576%
1344000, 92.7584%
1345000, 92.759%
1346000, 92.7593%
1347000, 92.7603%
1348000, 92.7615%
1349000, 92.7637%
1350000, 92.7659%
1351000, 92.7664%
1352000, 92.7686%
1353000, 92.7687%
1354000, 92.7705%
1355000, 92.7732%
1356000, 92.7763%
1357000, 92.7787%
1358000, 92.7814%
1359000, 92.7837%
1360000, 92.7855%
1361000, 92.7849%
1362000, 92.7863%
1363000, 92.7886%
1364000, 92.7919%
1365000, 92.7947%
1366000, 92.7963%
1367000, 92.7973%
1368000, 92.7981%
1369000, 92.8001%
